------------------------------------------------------------
Client connecting to 65.0.0.2, TCP port 8000
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  3] local 62.0.0.2 port 34796 connected with 65.0.0.2 port 8000
[ ID] Interval       Transfer     Bandwidth
[  3]  0.0- 1.0 sec   896 KBytes  7.34 Mbits/sec
[  3]  1.0- 2.0 sec  7.00 MBytes  58.7 Mbits/sec
[  3]  2.0- 3.0 sec  16.5 MBytes   138 Mbits/sec
[  3]  3.0- 4.0 sec  10.8 MBytes  90.2 Mbits/sec
[  3]  4.0- 5.0 sec  10.6 MBytes  89.1 Mbits/sec
[  3]  5.0- 6.0 sec  10.6 MBytes  89.1 Mbits/sec
[  3]  6.0- 7.0 sec  10.8 MBytes  90.2 Mbits/sec
[  3]  7.0- 8.0 sec  10.6 MBytes  89.1 Mbits/sec
[  3]  8.0- 9.0 sec  10.8 MBytes  90.2 Mbits/sec
[  3]  9.0-10.0 sec  10.6 MBytes  89.1 Mbits/sec
[  3]  0.0-10.2 sec  99.2 MBytes  81.7 Mbits/sec
